aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,computed_aqi
5,2243.04,1.15,54.15,10.01,12.16,397.85,488.67,6.33,483.74
5,2403.26,25.93,31.19,0.01,11.68,325.48,427.33,9.37,430.61
5,1895.9,0.04,36.67,28.61,9.42,382.16,437.46,6.59,453.15
5,1535.42,2.57,33.59,3.0,7.99,264.62,320.12,6.65,406.42
5,1522.06,0.42,43.18,13.05,10.85,189.05,261.13,12.41,353.22
5,7476.81,94.77,127.49,0.0,167.85,641.02,915.89,162.13,147.49
5,1789.09,0.04,45.93,26.11,9.54,223.74,299.77,9.12,379.85
5,1121.52,0.0,28.45,53.64,9.42,133.59,172.76,16.72,310.66
5,11856.08,193.12,153.54,0.0,105.86,890.77,1064.67,50.66,173.54
5,4539.49,47.39,59.63,0.0,62.94,365.78,543.66,53.7,446.64
5,1335.14,1.55,36.67,4.83,12.52,133.26,219.57,27.36,310.41
5,680.92,0.0,16.45,75.1,11.21,58.98,76.21,19.51,98.28
5,807.76,0.0,18.68,77.96,11.92,73.36,94.13,21.79,143.19
5,2803.8,35.32,48.67,0.0,34.81,231.6,411.02,52.18,385.88
5,2403.26,11.85,51.41,0.16,19.79,226.89,365.7,29.89,382.26
5,634.19,0.0,10.8,127.32,13.59,82.23,99.92,18.75,173.47
5,3845.22,36.21,54.84,0.0,51.5,302.4,438.11,46.61,421.44
5,781.06,0.0,16.11,103.0,24.56,111.86,144.27,20.52,272.21
5,1348.5,0.0,26.39,63.66,20.27,188.9,247.02,13.05,353.11
5,3685.0,27.49,67.86,0.0,21.22,386.68,608.7,17.73,454.95
5,1842.5,1.5,44.55,4.92,18.6,192.92,339.54,18.75,356.19
5,3685.0,10.84,73.34,0.23,37.19,316.76,472.7,33.95,460.83
5,1522.06,0.26,40.78,13.59,16.93,116.75,168.61,5.95,288.91
5,1054.76,0.06,30.16,19.13,7.75,73.93,110.39,23.05,145.14
5,867.84,0.0,23.31,37.91,8.35,74.33,110.93,22.04,146.51
5,907.9,0.0,23.65,43.63,10.49,84.48,129.9,24.83,181.16
5,1161.58,0.01,32.9,32.54,12.52,90.9,161.37,23.81,141.11
5,1335.14,1.48,39.41,4.38,12.28,115.87,211.56,26.6,285.9
5,4165.65,46.94,59.63,0.0,25.99,276.83,387.12,27.11,411.27
5,1281.74,0.07,41.13,18.06,17.17,72.22,116.69,23.31,139.3
5,1789.09,7.38,47.3,0.34,15.74,106.28,189.24,24.83,253.16
5,794.41,0.0,18.17,61.51,11.33,72.9,112.77,21.79,141.62
5,1548.77,0.37,43.53,13.05,22.89,98.99,158.56,22.8,228.28
5,1321.79,0.06,35.3,20.92,17.41,100.25,165.3,21.53,232.58
4,527.38,0.0,18.51,65.8,15.97,32.66,51.46,20.27,65.8
5,707.63,0.0,17.82,87.26,12.99,59.72,86.28,20.77,99.53
5,1174.93,0.01,37.36,30.76,12.16,84.27,143.91,24.07,180.44
5,3070.83,17.88,61.69,0.02,42.44,259.33,407.7,43.06,404.31
5,1628.88,0.0,30.5,88.69,36.72,221.69,299.12,22.8,378.27
5,3017.43,6.87,62.38,0.51,36.24,271.5,403.31,31.16,409.15
5,680.92,0.0,8.48,155.93,17.17,126.81,183.53,21.79,305.46
3,393.87,0.0,8.65,140.19,12.28,17.02,23.93,14.57,158.91
4,620.84,0.0,20.05,80.82,15.74,28.98,47.98,22.55,80.82
4,814.44,0.0,24.33,71.53,21.46,45.41,72.64,23.31,75.35
5,1321.79,0.01,41.13,24.32,18.36,71.76,132.59,26.09,137.73
5,1348.5,0.03,41.47,20.56,16.93,79.87,141.26,26.09,165.42
5,694.28,0.0,16.97,60.8,20.27,51.66,86.06,19.0,86.06
5,867.84,0.0,18.68,134.47,43.87,111.4,138.85,21.79,270.64
5,1321.79,0.01,38.39,28.25,18.6,123.35,196.95,32.93,302.8
5,921.25,0.0,27.08,55.08,16.45,59.48,91.13,25.84,99.12
4,574.11,0.0,19.54,83.69,17.64,27.37,44.69,20.27,83.69
4,600.82,0.0,15.77,77.96,10.49,37.46,58.2,23.56,77.96
5,727.65,0.0,21.42,60.08,16.45,51.95,97.14,23.56,97.14
5,907.9,0.0,26.05,65.09,19.79,72.25,120.51,22.55,139.41
4,560.76,0.0,16.62,81.54,15.74,40.18,70.39,21.79,81.54
5,794.41,0.0,25.02,50.78,14.9,52.65,101.31,23.56,101.21
5,974.66,0.0,30.16,35.05,17.41,75.28,129.79,25.33,149.75
4,507.36,0.0,13.88,81.54,10.61,27.8,56.0,13.55,81.54
5,1682.28,0.11,45.93,15.56,21.22,131.42,226.73,27.87,309.0
4,687.6,0.0,17.14,85.12,18.84,40.88,64.75,20.52,85.12
4,647.54,0.0,18.34,76.53,12.99,32.82,55.68,22.55,76.53
4,540.73,0.0,15.94,68.67,16.93,26.16,52.95,16.21,68.67
5,1441.96,0.01,42.84,32.9,20.03,107.81,189.95,17.99,258.39
3,520.71,0.0,11.48,83.69,15.02,24.65,37.0,13.81,83.69
2,514.03,0.0,11.31,74.39,10.97,18.86,34.62,14.95,74.39
4,594.14,0.0,14.57,108.72,15.97,33.62,47.49,21.53,112.41
5,1228.33,0.01,38.73,27.9,17.17,77.33,129.21,28.12,156.75
5,2216.34,3.8,65.8,1.38,35.29,133.13,262.65,35.97,310.31
5,1121.52,0.0,30.5,46.49,21.22,80.89,136.45,26.6,168.9
5,734.33,0.0,22.62,71.53,23.6,57.03,92.53,24.07,94.98
5,2429.96,0.0,66.49,45.78,61.04,186.19,254.07,31.41,351.03
5,3524.78,1.1,108.3,4.29,77.25,237.22,322.13,35.97,390.19
5,2029.42,0.0,45.24,47.21,46.73,172.24,230.65,23.56,340.32
5,2883.91,0.55,85.68,8.76,66.76,196.7,270.07,30.15,359.1
5,1401.9,0.0,29.82,52.93,32.9,110.34,181.71,24.83,267.02
5,841.14,0.0,21.76,87.26,45.3,86.19,112.36,17.48,186.99
5,1335.14,0.0,26.05,73.67,20.98,114.56,167.07,18.75,281.43
5,961.3,0.0,15.25,118.73,16.21,95.59,118.62,12.16,216.67
5,2269.75,0.01,56.21,24.32,25.51,191.12,285.61,23.05,354.81
5,1054.76,0.0,17.82,87.26,20.5,87.68,117.62,19.76,192.08
5,2937.32,0.02,71.97,22.71,54.36,186.88,267.17,29.13,351.56
5,1241.68,0.0,27.08,83.69,43.39,87.19,113.25,23.56,190.41
5,2189.64,0.0,40.1,43.99,29.09,194.72,288.82,25.33,357.58
5,5340.58,4.41,139.83,0.95,62.94,412.37,577.77,36.99,465.16
5,1642.23,0.0,31.87,41.49,22.17,115.84,175.91,24.83,285.8
5,1121.52,0.0,34.96,34.69,18.36,79.14,143.82,26.09,162.93
5,3231.05,4.08,101.45,0.86,56.74,235.05,449.97,68.9,428.22
5,974.66,0.0,19.54,101.57,20.74,80.26,135.35,16.97,166.75
5,894.55,0.0,26.73,61.51,32.42,92.4,120.65,15.2,205.78
5,2429.96,22.13,161.77,0.0,173.57,178.48,218.98,13.05,345.11
2,453.95,0.0,7.28,55.08,4.83,16.2,18.42,1.31,55.08
5,7263.18,104.61,55.52,0.0,37.67,454.62,611.13,13.43,481.96
5,4753.11,3.8,126.12,1.03,44.35,328.07,428.77,12.67,431.64
5,2536.77,0.0,67.17,45.78,29.33,173.99,261.55,17.73,341.67
5,1041.41,0.0,29.82,33.98,13.23,82.91,135.87,24.83,175.8
5,707.63,0.0,17.14,86.55,11.33,54.03,81.1,22.8,89.91
5,1188.28,0.0,41.47,28.61,17.88,57.01,115.79,25.59,110.83
5,10681.15,71.53,161.77,0.0,94.41,723.33,1018.66,52.69,181.77
5,7049.56,0.0,143.95,42.2,72.48,706.24,813.98,33.44,163.95
5,1161.58,0.0,27.42,103.0,35.29,120.03,148.46,25.08,132.53
5,700.95,0.0,22.96,87.26,37.19,68.24,85.99,16.97,125.72
5,1401.9,0.0,32.22,45.42,24.8,105.4,157.5,22.55,250.16
5,2483.37,0.0,68.55,48.64,45.3,225.64,352.39,11.02,381.31
5,3017.43,1.44,64.43,5.36,28.13,284.6,400.44,9.5,414.36
5,4379.27,3.63,81.57,1.45,31.95,516.05,734.43,23.05,101.57
5,2803.8,0.11,56.89,13.23,21.22,372.28,532.87,24.57,449.22
5,11535.65,26.38,244.02,0.0,75.34,1067.93,1303.25,38.0,264.02
5,2883.91,1.38,80.88,3.93,34.33,198.26,301.58,25.84,360.29
5,2296.45,5.31,60.32,0.44,27.9,171.74,291.85,38.51,339.94
5,3952.03,0.0,117.9,48.64,118.26,262.62,327.48,32.17,405.62
5,1174.93,0.09,39.41,13.95,26.7,72.97,202.81,25.08,168.65
5,5874.63,52.75,109.67,0.0,92.51,355.35,600.72,49.14,442.49
4,814.44,0.0,24.33,72.24,43.39,35.14,68.13,14.82,72.24
5,881.2,0.0,20.22,108.72,38.62,69.81,90.43,15.33,131.08
5,1014.71,0.0,22.28,154.5,55.31,89.82,93.85,3.26,199.39
4,607.49,0.0,21.94,90.84,42.44,34.47,43.47,13.93,90.84
4,881.2,0.0,41.47,54.36,61.04,45.74,62.27,19.25,76.18
5,3417.97,29.95,66.49,0.0,43.87,184.89,367.7,36.99,350.03
5,1148.22,0.0,26.73,67.23,32.9,101.64,133.06,6.84,237.32
4,807.76,0.0,26.39,48.64,38.62,41.32,59.11,11.91,68.44
4,827.79,0.0,27.42,55.79,38.15,48.57,75.11,11.02,80.69
2,473.98,0.0,10.8,33.62,10.73,14.77,23.27,3.71,33.62
4,734.33,0.0,18.85,50.07,22.17,43.51,62.37,12.03,72.14
5,4646.3,7.6,106.93,0.3,60.08,304.49,421.12,39.01,422.27
5,2883.91,6.31,69.23,0.34,40.05,200.18,372.87,35.97,361.77
